Fips,Name,Temp,Rank,Past Mean,,,,,,
13131,McIntosh County,79.5,61,79.3,,,,,,
13133,Macon County,78.2,58,78.3,,,,,,
13135,Madison County,75.2,44,75.8,,,,,,
13137,Marion County,76.6,34,77.7,,,,,,
13139,Meriwether County,75.7,44,76.2,,,,,,
13141,Miller County,80,77,79.5,,,,,,
13143,Mitchell County,80,87,79.1,,,,,,
13145,Monroe County,77,52,77.1,,,,,,
13147,Montgomery County,79.1,59,79,,,,,,
13149,Morgan County,76.5,50,76.7,,,,,,
13151,Murray County,73.5,30,74.7,,,,,,
13153,Muscogee County,76.7,22,78.2,,,,,,
13155,Newton County,76.3,56,76.4,,,,,,
13157,Oconee County,76.3,51,76.5,,,,,,
13159,Oglethorpe County,76.4,53,76.4,,,,,,
13161,Paulding County,74.3,35,75.1,,,,,,
13163,Peach County,77.9,54,78,,,,,,
13165,Pickens County,71.7,22,73.6,,,,,,
13167,Pierce County,79.7,85,78.7,,,,,,
13169,Pike County,76.2,48,76.5,,,,,,
13171,Polk County,73.9,23,75.3,,,,,,
13173,Pulaski County,79,61,78.9,,,,,,
13175,Putnam County,76.8,43,77.4,,,,,,
13177,Quitman County,77.7,35,78.7,,,,,,
13179,Rabun County,69.5,34,70.4,,,,,,
13181,Randolph County,78.2,53,78.4,,,,,,
13183,Richmond County,78.6,76,77.8,,,,,,
13185,Rockdale County,76.1,53,76.2,,,,,,
13187,Schley County,77.4,46,78,,,,,,
13189,Screven County,78.2,64,78.1,,,,,,
13191,Seminole County,80.1,69,79.8,,,,,,
13193,Spalding County,76.4,50,76.7,,,,,,
13195,Stephens County,74.7,43,75.4,,,,,,
13197,Stewart County,77.1,34,78.1,,,,,,
13199,Sumter County,78.6,64,78.5,,,,,,
13201,Talbot County,76.2,38,77.2,,,,,,
13205,Taliaferro County,76.6,52,76.9,,,,,,
13207,Tattnall County,78.9,52,79.2,,,,,,
13209,Taylor County,77,40,77.7,,,,,,
13211,Telfair County,79.4,71,79,,,,,,
13213,Terrell County,79.1,73,78.7,,,,,,
13215,Thomas County,79.5,85,78.7,,,,,,
13217,Tift County,79,74,78.4,,,,,,
13219,Toombs County,79.1,57,79.1,,,,,,
13221,Towns County,68.7,39,69.5,,,,,,
13223,Treutlen County,78.6,51,78.8,,,,,,
13225,Troup County,75.7,42,76.4,,,,,,
13227,Turner County,78.9,73,78.3,,,,,,
13229,Twiggs County,78.1,48,78.4,,,,,,
13231,Union County,68.9,33,69.9,,,,,,
13233,Upson County,76.6,44,77,,,,,,
13235,Walker County,73.4,30,74.7,,,,,,
13237,Walton County,75.8,52,76.1,,,,,,
13239,Ware County,79.8,87,78.7,,,,,,
13241,Warren County,76.7,52,77,,,,,,
13243,Washington County,77.3,41,78,,,,,,
13245,Wayne County,79.3,71,78.8,,,,,,
13247,Webster County,77.5,46,78,,,,,,
13249,Wheeler County,79.3,66,79.1,,,,,,
13251,White County,71.4,42,72.2,,,,,,
13253,Whitfield County,74.4,40,75.3,,,,,,
13255,Wilcox County,79.1,68,78.7,,,,,,
13257,Wilkes County,76.8,56,76.8,,,,,,
13259,Wilkinson County,77.9,44,78.5,,,,,,
13261,Worth County,79.4,85,78.6,,,,,,
13263,Ada County,74,126,65.6,,,,,,
13265,Adams County,64.6,126,56.3,,,,,,
13267,Bannock County,68.2,127,59.2,,,,,,
13269,Bear Lake County,62.4,127,54.6,,,,,,
13271,Benewah County,64.2,126,57.3,,,,,,
13273,Bingham County,67.9,127,59.6,,,,,,
13275,Blaine County,65.5,127,55.8,,,,,,
13277,Boise County,64.6,127,56,,,,,,
13279,Bonner County,63.7,126,56,,,,,,
13281,Bonneville County,63.6,127,56.4,,,,,,
13283,Boundary County,61.8,127,53.6,,,,,,
13285,Butte County,66.1,127,56.9,,,,,,
13287,Camas County,64,127,53.7,,,,,,
13289,Canyon County,75,126,66.4,,,,,,
13291,Caribou County,64.3,127,55.7,,,,,,
13293,Cassia County,69,127,59.4,,,,,,
13295,Clark County,63.7,127,54.9,,,,,,
13297,Clearwater County,62.5,125,55.8,,,,,,
